Name,Born,Died,Age,Age at Death,Gender,Marital Status,Category,Class,Group,Ticket,Cabin,Embarked,Disembarked
Derrett Arthur Henry,1883,1912,28,28,Male,Single,Crew,Victualling,,,,Belfast,
Deslandes Percival Stainer,1874,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Desvernine Louis Gabriel,1891,1912,20,20,Male,,Crew,A la Carte,,,,Southampton,
Diaper John Joseph,1885,1955,27,70,Male,Married,Crew,Engine,,,,Southampton,New York City
Dillon Thomas Patrick,1879,1939,33,59,Male,Single,Crew,Engine,,,,Southampton,New York City
Dinenage James Richard,1863,1912,49,49,Male,Married,Crew,Victualling,,,,Southampton,
Dodd Edward Charles,1873,1912,39,39,Male,Single,Crew,Engine,,,,Belfast,
Dodd George Charles,1867,1912,44,44,Male,Married,Crew,Victualling,,,,Belfast,
Doel Frederick,1889,1940,22,50,Male,Single,Crew,Engine,,,,Southampton,New York City
Dolby Joseph,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Belfast,
Donati Italo Francesco,1894,1912,17,17,Male,Single,Crew,A la Carte,,,,Southampton,
Donoghue Florence Thomas,1880,1912,31,31,Male,Married,Crew,Victualling,,,,Belfast,
Donohoe Hugh Moses,1874,,37,,Male,,Crew,Deck,,,,Belfast,Southampton
Dore Albert James,1889,1953,22,63,Male,Single,Crew,Engine,,,,Southampton,New York City
Dornier Louis Auguste,1891,1912,20,20,Male,,Crew,A la Carte,,,,Southampton,
Doughty Walter Thomas,1890,1912,22,22,Male,Single,Crew,Victualling,,,,Southampton,
Douglas William,1879,,32,,Male,Married,Crew,Deck,,,,Belfast,Southampton
Doyle Laurence,1885,1912,27,27,Male,Single,Crew,Engine,,,,Southampton,
Duffy William Luke,1875,1912,36,36,Male,Married,Crew,Engine,,,,Belfast,
Dunford William,1864,1912,48,48,Male,,Crew,Victualling,,,,Southampton,
Dunlop Joseph,1865,,47,,Male,,Crew,Engine,,,,Belfast,Southampton
Dyer Henry Ryland,1887,1912,24,24,Male,Single,Crew,Engine,,,,Belfast,
Dyer William Henry,1879,1912,33,33,Male,Married,Crew,Victualling,,,,Southampton,
Dymond Frank,1876,1947,36,71,Male,Married,Crew,Engine,,,,Southampton,New York City
Eagle Alfred James Jacob,1884,1912,27,27,Male,Single,Crew,Engine,,,,Southampton,
Eastman Charles,1868,1912,44,44,Male,Married,Crew,Engine,,,,Southampton,
Edbrooke Francis Samuel Jacob,1888,1912,23,23,Male,Single,Crew,Victualling,,,,Southampton,
Ede George Bulkeley,1889,1912,23,23,Male,,Crew,Victualling,,,,Southampton,
Edge Frederick William,1873,1912,39,39,Male,Married,Crew,Victualling,,,,Southampton,
Edwards Charles Essex,1862,1912,49,49,Male,Married,Crew,Victualling,,,,Southampton,
Egg William Henry,1864,1912,48,48,Male,Married,Crew,Victualling,,,,Southampton,
Elliott Everett Edward,1888,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
Ellis John Bertie,1883,1932,28,48,Male,Married,Crew,Victualling,,,,Southampton,New York City
Ellison Joseph,1883,1945,29,62,Male,Married,Crew,Engine,,,,Belfast,Southampton
Ennes William,1884,,28,,Male,,Crew,Engine,,,,Belfast,Southampton
Ennis Walter,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Southampton,
Ervine Albert George,1893,1912,18,18,Male,Single,Crew,Engine,,,,Belfast,
Etches Henry Samuel,1868,1944,43,75,Male,Married,Crew,Victualling,,,,Belfast,New York City
Evans Alfred Frank,1887,1964,25,76,Male,,Crew,Deck,,,,Southampton,New York City
Evans Frank Oliver,1884,1952,27,68,Male,,Crew,Deck,,,,Southampton,New York City
Evans George Richard,1884,1912,27,27,Male,Married,Crew,Victualling,,,,Belfast,
Evans William Thomas,1878,1912,33,33,Male,Single,Crew,Engine,,,,Southampton,
Fairall Henry Charles,1871,1912,40,40,Male,Married,Crew,Victualling,,,,Belfast,
Farenden Ernest John,1890,1912,22,22,Male,Single,Crew,Victualling,,,,Belfast,
Farley John,1881,,31,,Male,Single,Crew,Engine,,,,Belfast,Southampton
Farquharson William Edward,1873,1912,39,39,Male,Married,Crew,Engine,,,,Belfast,
Faulkner William Stephen,1875,1949,37,74,Male,Married,Crew,Victualling,,,,Belfast,New York City
Fay Thomas Joseph,1881,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Fei Carlo,1893,1912,19,19,Male,Single,Crew,A la Carte,,,,Southampton,
Fellowes Alfred James,1883,1912,28,28,Male,Single,Crew,Victualling,,,,Belfast,
Feltham George William,1870,1912,41,41,Male,Married,Crew,Victualling,,,,Southampton,
Ferrary Anton,1879,1912,33,33,Male,Married,Crew,Engine,,,,Southampton,
Ferris George,1878,,34,,Male,,Crew,Engine,,,,Belfast,Southampton
Ferris William,1873,1912,39,39,Male,Married,Crew,Engine,,,,Southampton,
Ferron Nicholas,1878,,34,,Male,,Crew,Engine,,,,Belfast,Southampton
Finch Henry Herman,1893,1912,18,18,Male,,Crew,Victualling,,,,Southampton,
Fioravante Giuseppe Bertoldo,1888,1912,23,23,Male,Single,Crew,A la Carte,,,,Southampton,
Fitzpatrick Cecil William,1890,1964,21,74,Male,Single,Crew,Engine,,,,Southampton,New York City
Fitzpatrick Hugh Joseph,1883,1912,29,29,Male,Married,Crew,Engine,,,,Belfast,
Flack John,1883,1961,28,77,Male,Married,Crew,Engine,,,,Belfast,Southampton
Flaherty Edward,1860,1940,52,80,Male,Widowed,Crew,Engine,,,,Southampton,New York City
Flannigan Thomas,1866,1941,45,75,Male,Married,Crew,Engine,,,,Belfast,Southampton
Fleet Frederick,1887,1965,24,77,Male,,Crew,Deck,,,,Belfast,New York City
Fleming William,1876,,35,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Fletcher Percy William,1887,1912,25,25,Male,Married,Crew,Victualling,,,,Belfast,
Fletcher Robert,1872,1916,39,43,Male,Married,Crew,Engine,,,,Belfast,Southampton
Flynn Michael,1879,1942,32,62,Male,,Crew,Engine,,,,Belfast,Southampton
Foley John,1865,1934,46,69,Male,Married,Crew,Deck,,,,Belfast,New York City
Foley Wilfred Cyril,1890,1916,21,25,Male,Single,Crew,Victualling,,,,Southampton,New York City
Ford Ernest,1879,1912,33,33,Male,Single,Crew,Victualling,,,,Southampton,
Ford Francis,1868,1912,44,44,Male,Married,Crew,Victualling,,,,Southampton,
Ford H.,1890,1912,22,22,Male,,Crew,Engine,,,,Southampton,
Ford Thomas,1879,1912,33,33,Male,Married,Crew,Engine,,,,Southampton,
Forward James,1884,1940,27,55,Male,,Crew,Deck,,,,Southampton,New York City
Foster Alfred Charles,1875,1912,37,37,Male,Married,Crew,Engine,,,,Belfast,
Fox William Thomas,1885,1912,27,27,Male,Single,Crew,Victualling,,,,Southampton,
Franklin Alan Vincent,1883,1912,28,28,Male,Married,Crew,Victualling,,,,Southampton,
Fraser J.,1882,1912,30,30,Male,,Crew,Engine,,,,Southampton,
Fraser James,1882,1912,30,30,Male,Married,Crew,Engine,,,,Belfast,
Fredericks Walter Francis,1891,1960,21,69,Male,,Crew,Engine,,,,Southampton,New York City
Freeman Ernest Edward Samuel,1867,1912,45,45,Male,Married,Crew,Victualling,,,,Belfast,
Fryer Albert Ernest,1882,1944,29,62,Male,Married,Crew,Engine,,,,Southampton,New York City
Gamble William,1883,1942,28,59,Male,Single,Crew,Engine,,,,Belfast,Southampton
Gass David,1865,1931,47,66,Male,Married,Crew,Engine,,,,Belfast,Southampton
Gatti Gaspare Antonio Pietro,1875,1912,37,37,Male,Married,Crew,A la Carte,,,,Southampton,
Geddes Richard Charles,1880,1912,32,32,Male,Married,Crew,Victualling,,,,Southampton,
Gibbons Jacob William,1875,1965,36,89,Male,Married,Crew,Victualling,,,,Southampton,New York City
Gibson Thomas,1892,,20,,Male,,Crew,Engine,,,,Belfast,Southampton
Gibson William,1869,,43,,Male,,Crew,Engine,,,,Belfast,Southampton
Gilardino Vincenzo Pio,1881,1912,31,31,Male,Single,Crew,A la Carte,,,,Southampton,
Giles John Robert,1879,1912,32,32,Male,Single,Crew,Victualling,,,,Southampton,
Gill Joseph Stanley,1873,1912,38,38,Male,Married,Crew,Victualling,,,,Belfast,
Gill Patrick,1874,1912,38,38,Male,Married,Crew,Victualling,,,,Southampton,
Godley George Auguste,1873,1940,38,66,Male,Single,Crew,Engine,,,,Southampton,New York City
Godwin Frederick Charles,1876,1912,36,36,Male,Married,Crew,Engine,,,,Southampton,
Gold Jane Kate Coulson,1866,1948,45,82,Female,Married,Crew,Victualling,,,,Southampton,New York City
Golder Martin William,1876,1912,35,35,Male,Single,Crew,Engine,,,,Southampton,
Gollop Percival Salisbury,1882,1912,30,30,Male,Single,Crew,Victualling,,,,Southampton,
Goree Frank,1871,1912,40,40,Male,Married,Crew,Engine,,,,Southampton,
Gorman David,1880,1938,32,58,Male,Married,Crew,Engine,,,,Belfast,Southampton
Goshawk Alfred James,1871,1912,40,40,Male,Married,Crew,Victualling,,,,Belfast,
Gosling Bertram James,1890,1912,22,22,Male,,Crew,Engine,,,,Southampton,
Gosling Frank Henry,1887,1912,25,25,Male,,Crew,Engine,,,,Southampton,
Gracey John,1859,1913,53,54,Male,Married,Crew,Deck,,,,Belfast,Southampton
Gradidge Ernest Edward,1889,1912,22,22,Male,Single,Crew,Engine,,,,Southampton,
Graham Thomas Gibson,1883,,28,,Male,Single,Crew,Engine,,,,Belfast,New York City
Green George,1892,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
Gregg William John,1869,1923,43,54,Male,Married,Crew,Engine,,,,Belfast,Southampton
Gregory David,1869,1912,43,43,Male,Single,Crew,Engine,,,,Southampton,
Gregson Mary Josephine,1867,1923,45,55,Female,Single,Crew,Victualling,,,,Southampton,New York City
Grosclaude Gérald,1887,1912,24,24,Male,Single,Crew,A la Carte,,,,Southampton,
Gumery George,1887,1912,24,24,Male,Single,Crew,Engine,,,,Southampton,
Gunn Joseph Alfred,1882,1912,30,30,Male,Single,Crew,Victualling,,,,Southampton,
Guy Elgar John,1882,1922,29,39,Male,Single,Crew,Victualling,,,,Southampton,New York City
Hadley John,1862,,50,,Male,,Crew,Engine,,,,Belfast,Southampton
Haggan John,1877,1952,35,74,Male,Single,Crew,Engine,,,,Belfast,New York City
Haines Albert,1880,1933,31,53,Male,Single,Crew,Deck,,,,Belfast,New York City
Hale John,1887,1948,24,61,Male,Widowed,Crew,Engine,,,,Belfast,Southampton
Halford Richard,1884,1953,27,68,Male,Single,Crew,Victualling,,,,Southampton,New York City
Hall Frank Alfred James,1871,1912,40,40,Male,Married,Crew,Victualling,,,,Southampton,
Hall George,1875,1960,36,84,Male,Married,Crew,Engine,,,,Belfast,Southampton
Hall J.,1880,1912,32,32,Male,,Crew,Engine,,,,Southampton,
Hallett George Alexander,1889,1912,23,23,Male,Single,Crew,Engine,,,,Southampton,
Halpin Joseph,1888,,24,,Male,,Crew,Engine,,,,Belfast,Southampton
Hamblyn Ernest William,1865,1912,47,47,Male,Married,Crew,Victualling,,,,Southampton,
Hamilton Ernest,1886,1912,25,25,Male,Engaged,Crew,Victualling,,,,Belfast,
Hamilton William John,1888,1931,24,43,Male,Married,Crew,Engine,,,,Belfast,Southampton
Hands Bernard,1858,1912,54,54,Male,Widowed,Crew,Engine,,,,Southampton,
Hanley William,1887,1958,24,70,Male,Single,Crew,Engine,,,,Belfast,Southampton
Hannam George,1882,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
Harder William,1872,1947,39,75,Male,Married,Crew,Deck,,,,Southampton,New York City
Harding Alfred John,1891,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Hardwick Reginald,1891,1918,21,27,Male,,Crew,Victualling,,,,Southampton,New York City
Hardy John,1871,1953,40,82,Male,Married,Crew,Victualling,,,,Belfast,New York City
Harkin Samuel,1869,1931,43,62,Male,Married,Crew,Engine,,,,Belfast,Southampton
Harmes Robert,1881,1958,30,76,Male,Married,Crew,Deck,,,,Belfast,Southampton
Harris Amos,1888,1912,24,24,Male,Married,Crew,Engine,,,,Southampton,
Harris Charles William,1893,1912,19,19,Male,,Crew,Victualling,,,,Southampton,
Harris Clifford Henry,1895,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Harris Edward John,1883,1912,29,29,Male,Single,Crew,Engine,,,,Southampton,
Harris Edward Matthew,1895,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Harris Fred,1873,,39,,Male,,Crew,Engine,,,,Southampton,New York City
Harris Joseph,1880,1950,32,70,Male,,Crew,Deck,,,,Belfast,Southampton
Harrison Aragõa Drummond,1871,1947,40,75,Male,Married,Crew,Victualling,,,,Southampton,New York City
Harrison Norman E.,1873,1912,38,38,Male,Married,Crew,Engine,,,,Belfast,
Hart James,1858,1912,54,54,Male,Single,Crew,Engine,,,,Southampton,
Hart John Edward,1881,1954,31,72,Male,,Crew,Victualling,,,,Southampton,New York City
Hartnell Fred,1890,1920,21,29,Male,Single,Crew,Victualling,,,,Southampton,New York City
Harvey Herbert Gifford,1878,1912,34,34,Male,Single,Crew,Engine,,,,Belfast,
Harvey John,1886,,26,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Hatch Hugh,1891,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Hawkesworth James,1860,1912,52,52,Male,Single,Crew,Victualling,,,,Southampton,
Hawkesworth William Walter,1869,1912,43,43,Male,Married,Crew,Victualling,,,,Southampton,
Hayter Arthur,1867,1912,44,44,Male,Married,Crew,Victualling,,,,Belfast,
Head Alfred,1888,1912,24,24,Male,Single,Crew,Engine,,,,Southampton,
Hebb William Albert Thomas,1889,1932,22,42,Male,Single,Crew,Engine,,,,Southampton,New York City
Hedley Robert,1867,,45,,Male,,Crew,Victualling,,,,Belfast,Southampton
Hedley William,1867,1940,44,73,Male,Married,Crew,Deck,,,,Belfast,Southampton
Heinen Joseph Dominichus,1882,1912,30,30,Male,Married,Crew,Victualling,,,,Southampton,
Hemming Samuel Ernest,1868,1928,43,59,Male,Married,Crew,Deck,,,,Belfast,New York City
Hendrickson Charles Osker,1883,1956,28,73,Male,Married,Crew,Engine,,,,Southampton,New York City
Hendy Edward Martin,1872,1912,39,39,Male,Married,Crew,Victualling,,,,Belfast,
Henry James,1856,,56,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Hensford Herbert George Ernest,1885,1912,26,26,Male,Married,Crew,Victualling,,,,Southampton,
Hepburn William Spence,1883,,28,,Male,,Crew,Engine,,,,Belfast,Southampton
Herd Hugh,1877,,35,,Male,,Crew,Engine,,,,Belfast,Southampton
Hesketh John Henry,1879,1912,33,33,Male,Single,Crew,Engine,,,,Belfast,
Heslin James,1861,1912,51,51,Male,Married,Crew,Engine,,,,Southampton,
Hewitt Thomas,1875,1912,37,37,Male,Married,Crew,Victualling,,,,Belfast,
Hichens Robert,1882,1940,29,58,Male,Married,Crew,Deck,,,,Southampton,New York City
Hill Henry Parkinson,1875,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
Hill James,1887,1912,25,25,Male,,Crew,Engine,,,,Southampton,
Hill James Colston,1869,1912,43,43,Male,Married,Crew,Victualling,,,,Belfast,
Hinckley George Herbert,1872,1912,40,40,Male,Single,Crew,Victualling,,,,Southampton,
Hinds Charles,1870,,42,,Male,,Crew,Deck,,,,Belfast,Southampton
Hine William Edward,1876,1912,36,36,Male,Single,Crew,Victualling,,,,Southampton,
Hinton Stephen William,1881,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
Hiscock Sydney George,1887,1912,25,25,Male,Single,Crew,Victualling,,,,Southampton,
Hoare Leonard James,1893,1912,18,18,Male,Single,Crew,Victualling,,,,Belfast,
Hodge Charley,1883,1912,29,29,Male,Married,Crew,Engine,,,,Belfast,
Hodges W.,1886,1912,26,26,Male,Single,Crew,Engine,,,,Southampton,
Hodgkinson Leonard,1866,1912,46,46,Male,Married,Crew,Engine,,,,Belfast,
Hogan Albert John,1893,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Hogg Charles William,1868,1912,43,43,Male,Married,Crew,Victualling,,,,Southampton,
Hogg George Alfred,1883,1946,29,62,Male,Married,Crew,Deck,,,,Belfast,New York City
Hogue E.,1890,1912,22,22,Male,,Crew,Victualling,,,,Southampton,
Holland James,1882,,30,,Male,,Crew,Engine,,,,Belfast,Southampton
Holland T.,1884,,28,,Male,,Crew,Engine,,,,Belfast,Southampton
Holland Thomas,1883,1912,28,28,Male,Single,Crew,Victualling,,,,Belfast,
Holloway Sidney,1888,1912,24,24,Male,Single,Crew,Victualling,,,,Southampton,
Holman Harry,1883,1912,29,29,Male,Married,Crew,Deck,,,,Belfast,
Holman Percival Thomas,1887,1937,24,50,Male,,Crew,Engine,,,,Belfast,Southampton
Holme Nicholas Joseph,1876,1958,35,81,Male,Married,Crew,Engine,,,,Belfast,Southampton
Hopgood Roland John C.,1882,1912,29,29,Male,Single,Crew,Engine,,,,Southampton,
Hopkins Frederick William,1897,1912,14,14,Male,,Crew,Victualling,,,,Southampton,
Hopkins Robert John,1868,1943,43,74,Male,Widowed,Crew,Deck,,,,Belfast,New York City
Horner Alex,1874,,38,,Male,,Crew,Engine,,,,Belfast,Southampton
Horswill Albert Edward James,1879,1962,33,83,Male,Single,Crew,Deck,,,,Southampton,New York City
Hosking George Fox,1875,1912,36,36,Male,Married,Crew,Engine,,,,Belfast,
House William Charles,1866,1912,45,45,Male,Married,Crew,Victualling,,,,Belfast,
Howell Arthur Albert,1880,1912,31,31,Male,Married,Crew,Victualling,,,,Belfast,
Hughes William Thomas,1878,1912,34,34,Male,Engaged,Crew,Victualling,,,,Southampton,
Humby Frederick,1895,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Humphreys Humphrey,1880,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
Humphreys Sidney,1859,1919,52,60,Male,Married,Crew,Deck,,,,Southampton,New York City
Hunt Albert Sylvanus,1889,1949,23,60,Male,Married,Crew,Engine,,,,Southampton,New York City
Hunt Tom,1884,1912,27,27,Male,Single,Crew,Engine,,,,Southampton,
Hurst Charles John,1871,1912,40,40,Male,Married,Crew,Engine,,,,Southampton,
Hurst Walter,1888,1964,23,76,Male,Married,Crew,Engine,,,,Southampton,New York City
Hutchinson John Hall,1884,1912,28,28,Male,Single,Crew,Deck,,,,Belfast,
Hutchison James,1881,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
Hutton George,1875,,37,,Male,,Crew,Engine,,,,Belfast,Southampton
Hyland Leo James,1893,1974,19,81,Male,Single,Crew,Victualling,,,,Southampton,New York City
Ide Harry John,1880,1912,31,31,Male,Married,Crew,Victualling,,,,Southampton,
Ingram George,1892,1912,19,19,Male,Single,Crew,Engine,,,,Southampton,
Ingrouille Henry,1890,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Ings William Ernest,1892,1912,20,20,Male,Single,Crew,Victualling,,,,Southampton,
Instance Thomas,1881,1912,31,31,Male,Married,Crew,Engine,,,,Southampton,
Jackopson John Henry,1881,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Jackson Cecil,1890,1912,22,22,Male,Single,Crew,Victualling,,,,Belfast,
Jago Joseph,1853,1912,59,59,Male,Married,Crew,Engine,,,,Southampton,
Jaillet Henri Marie,1873,1912,38,38,Male,Married,Crew,A la Carte,,,,Southampton,
James Thomas,1885,1912,27,27,Male,Married,Crew,Engine,,,,Southampton,
James Thomas,1876,,36,,Male,,Crew,Engine,,,,Belfast,Southampton
Jameson William,1864,,48,,Male,,Crew,Engine,,,,Belfast,Southampton
Janaway William Frank,1877,1912,35,35,Male,Married,Crew,Victualling,,,,Belfast,
Janin Claude Marie,1882,1912,29,29,Male,Married,Crew,A la Carte,,,,Southampton,
Jeffery William Alfred,1884,1912,28,28,Male,Single,Crew,A la Carte,,,,Southampton,
Jenner F.,1881,,31,,Male,,Crew,Deck,,,,Belfast,Southampton
Jenner Thomas Henry (Harry),1856,1912,55,55,Male,Married,Crew,Victualling,,,,Belfast,
Jensen Charles Valdemar,1887,1912,24,24,Male,Single,Crew,Victualling,,,,Southampton,
Jessop Violet Constance,1887,1971,24,83,Female,Single,Crew,Victualling,,,,Southampton,New York City
Jewell Archie,1888,1917,23,28,Male,Married,Crew,Deck,,,,Belfast,New York City
Joas Nicolas,1873,1912,39,39,Male,Married,Crew,Engine,,,,Southampton,
Johnstone James,1859,1943,52,84,Male,Married,Crew,Victualling,,,,Belfast,New York City
Jones Albert Hugh Brabner,1894,1912,17,17,Male,Single,Crew,Victualling,,,,Southampton,
Jones Arthur Ernest,1874,1912,37,37,Male,Single,Crew,Victualling,,,,Southampton,
Jones Harry Owen Glendower,1875,1912,36,36,Male,Married,Crew,Victualling,,,,Southampton,
Jones Thomas William,1877,1967,34,89,Male,Single,Crew,Deck,,,,Southampton,New York City
Jones Victor Reginald,1891,1912,20,20,Male,Single,Crew,Victualling,,,,Southampton,
Joseph Kirkpatrick,1875,,37,,Male,,Crew,Engine,,,,Belfast,Southampton
Jouannault Georges Jules,1887,1912,24,24,Male,,Crew,A la Carte,,,,Southampton,
Joughin Charles John,1878,1956,33,78,Male,Married,Crew,Victualling,,,,Belfast,New York City
Judd Charles Edward,1880,1960,31,80,Male,Married,Crew,Engine,,,,Southampton,New York City
Jukes Henry James,1873,1912,38,38,Male,Single,Crew,Engine,,,,Southampton,
Jupe Boylett Herbert,1881,1912,30,30,Male,Single,Crew,Engine,,,,Southampton,
Kasper F.,1872,,40,,Male,,Crew,Engine,,,,Southampton,New York City
Kavanagh William,1885,,26,,Male,Single,Crew,Deck,,,,Belfast,Southampton
Kearl Charles Henry,1868,1912,44,44,Male,Married,Crew,Engine,,,,Southampton,
Kearl George Edward,1886,1912,25,25,Male,Single,Crew,Engine,,,,Southampton,
Keegan James,1874,1912,38,38,Male,Married,Crew,Engine,,,,Southampton,
Keen Percy Edward,1881,1954,30,73,Male,Married,Crew,Victualling,,,,Southampton,New York City
Keenan John Patrick,1853,,58,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Keenan Patrick,1881,,31,,Male,Married,Crew,Engine,,,,Belfast,Southampton
Keenan William,1875,1963,37,88,Male,Married,Crew,Engine,,,,Belfast,Southampton
Keenan William,1875,,36,,Male,,Crew,Engine,,,,Belfast,Southampton
Kelland Thomas,1892,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Kelly James,1868,1912,44,44,Male,Married,Crew,Engine,,,,Southampton,
Kelly William Patrick,1888,1912,23,23,Male,Single,Crew,Engine,,,,Belfast,
Kemish George,1889,1966,22,76,Male,Single,Crew,Engine,,,,Southampton,New York City
Kemp Thomas Hulman,1869,1912,43,43,Male,Married,Crew,Engine,,,,Belfast,
Kennell Charles,1882,1912,30,30,Male,,Crew,Victualling,,,,Southampton,
Kenzler August,1868,1912,44,44,Male,Married,Crew,Engine,,,,Belfast,
Kerley William Thomas,1884,1912,28,28,Male,Single,Crew,Victualling,,,,Southampton,
Kernaghan David,1875,1913,36,38,Male,Married,Crew,Engine,,,,Belfast,Southampton
Kerney William,1873,,39,,Male,,Crew,Engine,,,,Belfast,Southampton
Kerr Thomas Russell,1885,1912,26,26,Male,Married,Crew,Engine,,,,Southampton,
Ketchley Henry,1876,1912,36,36,Male,Married,Crew,Victualling,,,,Belfast,
Kieran Edgar Michael,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Southampton,
Kieran James William,1877,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
Kinchenten Frederick Charles,1875,1912,36,36,Male,Single,Crew,Engine,,,,Southampton,
King Alfred John Moffett,1893,1912,18,18,Male,Single,Crew,Victualling,,,,Southampton,
King Ernest Waldron,1884,1912,28,28,Male,Single,Crew,Victualling,,,,Southampton,
King Thomas Walter,1869,1912,42,42,Male,Widowed,Crew,Deck,,,,Southampton,
Kingscote William Ford,1864,1912,48,48,Male,Married,Crew,Victualling,,,,Southampton,
Kirkaldy Thomas Benjamin,1876,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
Kirkham James,1868,1912,43,43,Male,Married,Crew,Engine,,,,Southampton,
Kitching Arthur Alfred,1881,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
Klein Herbert,1878,1912,34,34,Male,Married,Crew,Victualling,,,,Southampton,
Knight George,1865,1945,46,79,Male,Married,Crew,Victualling,,,,Southampton,New York City
Knight Leonard George,1891,1912,21,21,Male,,Crew,Victualling,,,,Southampton,
Knowles Thomas,1867,1951,44,83,Male,Married,Crew,Engine,,,,Southampton,New York City
Lacey Bertie William,1892,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Lahy T.,1871,1912,41,41,Male,,Crew,Engine,,,,Southampton,
Lake William,1866,1912,46,46,Male,Single,Crew,Victualling,,,,Belfast,
Lane Albert Edward,1879,1912,33,33,Male,Married,Crew,Victualling,,,,Southampton,
Latimer Andrew,1857,1912,55,55,Male,Married,Crew,Victualling,,,,Belfast,
Lavington Elizabeth,1872,1949,40,77,Female,Single,Crew,Victualling,,,,Southampton,New York City
Lawrance Arthur,1875,1912,36,36,Male,Married,Crew,Victualling,,,,Belfast,
Leader Archibald,1889,1912,22,22,Male,Single,Crew,Victualling,,,,Southampton,
Leather Elizabeth Mary,1861,1937,50,76,Female,Married,Crew,Victualling,,,,Southampton,New York City
Lee Henry Reginald,1882,1965,29,82,Male,Married,Crew,Victualling,,,,Southampton,New York City
Lee Herbert Henry,1894,1912,17,17,Male,Single,Crew,Engine,,,,Southampton,
Lee Reginald Robinson,1870,1913,41,43,Male,Married,Crew,Deck,,,,Southampton,New York City
Lefebvre Paul Georges,1876,1912,35,35,Male,Single,Crew,Victualling,,,,Southampton,
Leonard Matthew,1886,1912,25,25,Male,Single,Crew,Victualling,,,,Belfast,
Levett George Alfred,1886,1912,25,25,Male,Married,Crew,Victualling,,,,Belfast,
Lewis Arthur Ernest Read,1884,1973,27,88,Male,Married,Crew,Victualling,,,,Southampton,New York City
Lewis James,1871,1917,40,46,Male,Married,Crew,Engine,,,,Belfast,Southampton
Light Charles Edward,1888,1912,24,24,Male,,Crew,Victualling,,,,Southampton,
Light Christopher William,1891,1912,20,20,Male,Single,Crew,Engine,,,,Southampton,
Light W.,1865,1912,47,47,Male,Married,Crew,Engine,,,,Southampton,
Lindsay William Charles,1881,1960,30,79,Male,Married,Crew,Engine,,,,Southampton,New York City
Little James,1863,,49,,Male,,Crew,Engine,,,,Belfast,Southampton
Littlejohn Alexander James,1872,1949,40,77,Male,Widowed,Crew,Victualling,,,,Belfast,New York City
Lloyd Humphrey,1871,1912,41,41,Male,Single,Crew,Victualling,,,,Belfast,
Long Frank,1880,1912,31,31,Male,Married,Crew,Engine,,,,Southampton,
Long William,1876,1912,36,36,Male,Married,Crew,Engine,,,,Southampton,
Longmuir John Dickson,1892,1912,19,19,Male,Single,Crew,Victualling,,,,Southampton,
Loughran Joseph,1883,1950,29,66,Male,Married,Crew,Engine,,,,Belfast,Southampton
Lovell John,1875,1912,37,37,Male,Single,Crew,Victualling,,,,Southampton,
Lowery David,1880,1916,31,36,Male,Single,Crew,Engine,,,,Belfast,Southampton
Lucas William Arthur,1886,1921,25,35,Male,,Crew,Deck,,,,Southampton,New York City
Lucas William Watson,1881,1944,31,63,Male,Single,Crew,Victualling,,,,Belfast,New York City
Lydiatt Charles,1867,1912,45,45,Male,Married,Crew,Victualling,,,,Southampton,
Lyons William Henry,1886,1912,25,25,Male,Single,Crew,Deck,,,,Southampton,
Lytle Thomas,1881,,31,,Male,,Crew,Engine,,,,Belfast,Southampton
Lyttle James,1881,1975,30,93,Male,Married,Crew,Engine,,,,Belfast,Southampton
Mabey John Charles,1888,1912,23,23,Male,Single,Crew,Victualling,,,,Southampton,
MacIntosh Joseph,1851,1938,60,86,Male,Married,Crew,Deck,,,,Belfast,Southampton
