Name,Born,Died,Age,Age at Death,Gender,Marital Status,Category,Class,Group,Ticket,Cabin,Embarked,Disembarked
Salussolia Govanni,1886,1912,25,25,Male,Single,Crew,A la Carte,,,,Southampton,
Samuel Owen Wilmore,1865,1912,47,47,Male,Married,Crew,Victualling,,,,Southampton,
Sangster Charles Edward,1882,1912,30,30,Male,Widowed,Crew,Engine,,,,Southampton,
Sartori Lazar,1888,1912,24,24,Male,,Crew,A la Carte,,,,Southampton,
Saunders F.,1890,1912,22,22,Male,Single,Crew,Engine,,,,Southampton,
Saunders Walter Ernest,1886,1912,25,25,Male,Married,Crew,Engine,,,,Southampton,
Saunders William Ernest,1879,1912,32,32,Male,Single,Crew,Victualling,,,,Southampton,
Saunders William Henry,1881,1912,31,31,Male,Single,Crew,Engine,,,,Southampton,
Savage Charles James,1888,1957,23,68,Male,Single,Crew,Victualling,,,,Southampton,New York City
Sawyer Robert James,1880,1912,31,31,Male,Married,Crew,Deck,,,,Southampton,
Scarrott Joseph George,1878,1938,33,60,Male,Married,Crew,Deck,,,,Southampton,New York City
Scavino Candido,1869,1912,42,42,Male,Married,Crew,A la Carte,,,,Southampton,
Scott Archibald,1870,1912,42,42,Male,Married,Crew,Engine,,,,Southampton,
Scott Frederick William,1884,1915,28,31,Male,Married,Crew,Engine,,,,Southampton,New York City
Scott John,1892,1912,20,20,Male,Single,Crew,Victualling,,,,Southampton,
Scovell Robert,1857,1912,55,55,Male,Married,Crew,Victualling,,,,Southampton,
Sedunary Samuel Francis,1887,1912,25,25,Male,Married,Crew,Victualling,,,,Southampton,
Self Albert Charles Edward,1888,1954,24,65,Male,Single,Crew,Engine,,,,Southampton,New York City
Self Alfred Henry,1872,1912,39,39,Male,Married,Crew,Engine,,,,Southampton,
Senior Harry,1881,1937,31,56,Male,Single,Crew,Engine,,,,Southampton,New York City
Sesia Giacomo,1888,1912,24,24,Male,Single,Crew,A la Carte,,,,Southampton,
Seward Wilfred Deable,1887,1963,25,76,Male,Single,Crew,Victualling,,,,Southampton,New York City
Shannon David McKay,1879,1961,33,82,Male,Single,Crew,Engine,,,,Belfast,Southampton
Shaw Andrew,1875,,37,,Male,,Crew,Engine,,,,Belfast,Southampton
Shaw Henry,1870,1912,41,41,Male,Single,Crew,Victualling,,,,Southampton,
Shea John Joseph,1872,1912,39,39,Male,Married,Crew,Victualling,,,,Belfast,
Shea Thomas,1880,1912,32,32,Male,Single,Crew,Engine,,,,Southampton,
Sheath Frederick,1892,1934,20,42,Male,,Crew,Engine,,,,Southampton,New York City
Shepherd Jonathan,1880,1912,32,32,Male,Single,Crew,Engine,,,,Southampton,
Shiers Alfred Charles,1886,1946,25,59,Male,Single,Crew,Engine,,,,Southampton,New York City
Shillabeer Charles Frederick,1892,1912,19,19,Male,Single,Crew,Engine,,,,Southampton,
Shulver Christopher Arthur,1883,1922,28,39,Male,,Crew,Engine,,,,Southampton,New York City
Siebert Sidney Conrad,1882,1912,29,29,Male,Married,Crew,Victualling,,,,Belfast,
Simmons Andrew George James,1880,1948,31,67,Male,Single,Crew,Victualling,,,,Southampton,New York City
Simmons Frederick Charles,1887,1912,24,24,Male,Married,Crew,Victualling,,,,Southampton,
Simmons William Simon Catcott,1875,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
Simms William,1874,,38,,Male,,Crew,Engine,,,,Belfast,Southampton
Simpson John Edward,1875,1912,37,37,Male,Married,Crew,Deck,,,,Southampton,
Sivier William,1888,1912,23,23,Male,Single,Crew,Victualling,,,,Southampton,
Skeates William,1889,1912,23,23,Male,Married,Crew,Engine,,,,Southampton,
Skinner Edward,1871,1912,41,41,Male,Single,Crew,Victualling,,,,Belfast,
Slight Harry John,1878,1912,33,33,Male,Married,Crew,Victualling,,,,Southampton,
Slight William Henry James,1875,1912,36,36,Male,Widowed,Crew,Victualling,,,,Belfast,
Sloan Mary Jane,1866,1953,45,86,Female,Single,Crew,Victualling,,,,Southampton,New York City
